symbol,variety,exchange,interval,direction,datetime,close,zk,zd,bk
A0,豆一,大商所,60m,long,2026-04-08 22:00:00,4687.0,,4670.3312,51.5784
AD0,铸造铝合金,上期所,60m,long,2026-06-01 10:00:00,23090.0,,22992.776,127.956
AD0,铸造铝合金,上期所,60m,long,2026-07-28 11:15:00,22975.0,,22896.928,133.92
AL0,沪铝,上期所,60m,long,2026-04-13 14:15:00,24815.0,,24676.112,152.448
AO0,氧化铝,上期所,120m,short,2026-07-27 11:15:00,2702.0,2720.191,,28.5137
AO0,氧化铝,上期所,60m,long,2026-05-22 11:15:00,2720.0,,2706.424,26.0376
AO0,氧化铝,上期所,60m,long,2026-05-25 10:00:00,2717.0,,2728.0048,30.5184
AP0,苹果,郑商所,30m,long,2026-03-02 10:00:00,9860.0,,9803.2352,104.9256
AP0,苹果,郑商所,30m,long,2026-03-16 13:45:00,10032.0,,9944.832,106.0152
AP0,苹果,郑商所,30m,short,2026-03-11 13:45:00,10271.0,10334.3648,,126.936
AP0,苹果,郑商所,90m,long,2026-01-05 10:45:00,9234.0,,9249.0224,128.6688
AU0,黄金,上期所,120m,short,2026-05-12 13:45:00,1033.84,1038.84832,,9.942624
AU0,黄金,上期所,30m,long,2026-06-26 14:45:00,881.5,,879.832416,5.516784
AU0,黄金,上期所,30m,long,2026-07-21 09:30:00,881.12,,879.592928,3.80496
B0,豆二,大商所,60m,long,2026-06-15 23:00:00,3515.0,,3511.4768,26.2152
B0,豆二,大商所,60m,long,2026-06-16 15:00:00,3519.0,,3529.808,26.3784
B0,豆二,大商所,daily,long,2026-02-11,3506.0,,3490.2016,81.0696
BR0,丁二烯橡胶,上期所,daily,short,2026-05-20,15660.0,15802.712,,725.208
BU0,沥青,上期所,30m,long,2026-05-29 13:45:00,4180.0,,4165.816,40.1808
BU0,沥青,上期所,60m,short,2026-05-22 10:00:00,4325.0,4364.2656,,59.5536
BU0,沥青,上期所,90m,long,2026-02-27 15:00:00,3346.0,,3392.008,79.4448
CF0,棉花,郑商所,30m,long,2026-04-15 14:15:00,15560.0,,15553.72,80.028
CF0,棉花,郑商所,60m,long,2026-02-09 23:00:00,14630.0,,14565.544,96.816
CF0,棉花,郑商所,90m,short,2026-05-14 10:00:00,16455.0,16506.192,,167.652
CF0,棉花,郑商所,daily,short,2026-06-04,16160.0,16362.448,,310.716
CJ0,红枣,郑商所,30m,short,2026-05-15 13:45:00,9275.0,9311.912,,79.872
CY0,棉纱,郑商所,30m,short,2026-07-08 10:45:00,22650.0,22713.28,,96.384
EB0,苯乙烯,大商所,90m,long,2026-03-02 10:00:00,7669.0,,7723.6848,197.5512
EC0,集运欧线,能源中心,120m,long,2026-02-12 11:15:00,1240.9,,1215.61984,90.39936
EC0,集运欧线,能源中心,120m,long,2026-03-02 11:15:00,1428.7,,1401.336,147.43344
EG0,乙二醇,大商所,30m,short,2026-06-24 10:00:00,4231.0,4236.6,,54.2328
EG0,乙二醇,大商所,90m,short,2026-01-15 10:00:00,3827.0,3873.488,,60.0
FB0,纤维板,大商所,30m,long,2026-01-29 15:00:00,1274.0,,1273.8144,3.5388
FG0,玻璃,郑商所,90m,short,2026-01-19 10:00:00,1093.0,1107.3504,,24.1128
I0,铁矿石,大商所,30m,short,2026-04-02 14:15:00,805.5,803.2,,7.1472
I0,铁矿石,大商所,90m,short,2026-04-01 15:00:00,812.0,808.9608,,10.6704
I0,铁矿石,大商所,90m,short,2026-07-29 15:00:00,739.0,738.963265,,9.122302
IF0,沪深300,中金所,120m,short,2026-07-10 15:00:00,4704.6,4803.67328,,104.7504
IH0,上证50,中金所,30m,short,2026-03-03 14:00:00,3017.2,3034.15904,,23.93712
JM0,焦煤,大商所,60m,long,2026-03-06 10:00:00,1118.0,,1096.8008,25.5
L0,塑料,大商所,120m,short,2026-06-12 15:00:00,7902.0,7832.5616,,153.672
LC0,碳酸锂,广期所,30m,long,2026-03-23 15:00:00,149040.0,,145665.216,4312.8
LC0,碳酸锂,广期所,30m,short,2026-01-29 14:45:00,164900.0,168100.0,,8097.696
LC0,碳酸锂,广期所,daily,long,2026-04-13,166500.0,,156995.296,11725.536
LG0,原木,大商所,30m,long,2026-07-22 11:15:00,821.0,,817.8248,3.2616
LG0,原木,大商所,90m,long,2026-06-12 14:15:00,798.0,,795.296,7.1508
LH0,生猪,大商所,30m,short,2026-03-12 11:15:00,11165.0,11192.648,,51.372
LH0,生猪,大商所,90m,long,2026-06-26 10:45:00,11860.0,,11858.848,168.144
M0,豆粕,大商所,60m,long,2026-02-10 11:15:00,2738.0,,2736.8672,14.9928
NI0,沪镍,上期所,120m,short,2026-01-30 01:00:00,143770.0,146291.12,,4507.056
NI0,沪镍,上期所,30m,long,2026-07-16 10:00:00,129730.0,,129422.768,953.544
NI0,沪镍,上期所,60m,long,2026-04-10 10:00:00,133930.0,,133178.032,1146.768
NI0,沪镍,上期所,90m,short,2026-06-23 00:00:00,135880.0,135671.952,,1459.176
OI0,菜油,郑商所,120m,long,2026-01-21 23:00:00,8957.0,,8940.5696,116.9016
OI0,菜油,郑商所,120m,long,2026-07-03 15:00:00,9644.0,,9622.5936,104.5632
OI0,菜油,郑商所,30m,long,2026-07-03 10:00:00,9593.0,,9582.4512,45.012
PB0,沪铅,上期所,60m,short,2026-05-27 14:15:00,16710.0,16744.656,,74.22
PB0,沪铅,上期所,60m,short,2026-06-29 23:00:00,16155.0,16186.208,,91.632
PF0,短纤,郑商所,120m,short,2026-05-21 23:00:00,7926.0,7989.4144,,150.12
PF0,短纤,郑商所,30m,long,2026-07-13 22:30:00,7140.0,,7125.8592,77.9568
