symbol,variety,exchange,interval,death_cross,source_golden_cross,bar_gap,close,mid
A0,豆一,大商所,120m,2026-01-20 23:00:00,2026-01-20 15:00:00,1,4295.0,4331.7
A0,豆一,大商所,120m,2026-02-03 15:00:00,2026-02-02 15:00:00,3,4384.0,4385.75
A0,豆一,大商所,120m,2026-02-04 11:15:00,2026-02-03 23:00:00,1,4384.0,4385.5
A0,豆一,大商所,120m,2026-02-05 11:15:00,2026-02-04 23:00:00,1,4374.0,4390.0
A0,豆一,大商所,120m,2026-03-04 23:00:00,2026-03-04 11:15:00,2,4651.0,4676.65
A0,豆一,大商所,120m,2026-03-05 15:00:00,2026-03-05 11:15:00,1,4652.0,4678.8
A0,豆一,大商所,120m,2026-04-03 15:00:00,2026-04-03 11:15:00,1,4591.0,4599.7
A0,豆一,大商所,120m,2026-04-27 15:00:00,2026-04-24 23:00:00,2,4897.0,4904.75
A0,豆一,大商所,120m,2026-04-28 15:00:00,2026-04-27 23:00:00,2,4917.0,4924.15
A0,豆一,大商所,120m,2026-05-20 11:15:00,2026-05-19 11:15:00,3,4772.0,4776.85
A0,豆一,大商所,120m,2026-06-03 15:00:00,2026-06-03 11:15:00,1,4765.0,4781.2
A0,豆一,大商所,120m,2026-06-08 23:00:00,2026-06-08 11:15:00,2,4718.0,4725.95
A0,豆一,大商所,120m,2026-07-10 23:00:00,2026-07-10 15:00:00,1,4731.0,4738.4
A0,豆一,大商所,30m,2026-04-01 13:45:00,2026-04-01 10:00:00,3,4624.0,4625.85
A0,豆一,大商所,30m,2026-04-03 14:45:00,2026-04-03 11:15:00,3,4595.0,4599.95
A0,豆一,大商所,30m,2026-04-16 10:00:00,2026-04-16 09:30:00,1,4819.0,4823.05
A0,豆一,大商所,30m,2026-04-16 13:45:00,2026-04-16 10:45:00,2,4816.0,4818.85
A0,豆一,大商所,30m,2026-04-16 21:30:00,2026-04-16 15:00:00,1,4804.0,4815.4
A0,豆一,大商所,30m,2026-04-17 21:30:00,2026-04-17 15:00:00,1,4763.0,4805.1
A0,豆一,大商所,30m,2026-04-28 15:00:00,2026-04-28 14:45:00,1,4917.0,4918.85
A0,豆一,大商所,30m,2026-04-28 22:00:00,2026-04-28 21:30:00,1,4911.0,4919.25
A0,豆一,大商所,30m,2026-05-06 11:15:00,2026-05-06 09:30:00,3,4907.0,4958.25
A0,豆一,大商所,30m,2026-05-08 11:15:00,2026-05-08 10:00:00,2,4820.0,4826.8
A0,豆一,大商所,30m,2026-05-12 10:00:00,2026-05-12 09:30:00,1,4787.0,4803.95
A0,豆一,大商所,30m,2026-05-20 14:15:00,2026-05-20 13:45:00,1,4770.0,4779.65
A0,豆一,大商所,30m,2026-05-21 22:00:00,2026-05-21 15:00:00,2,4740.0,4745.1
A0,豆一,大商所,30m,2026-05-25 23:00:00,2026-05-25 22:30:00,1,4818.0,4830.6
A0,豆一,大商所,30m,2026-06-09 11:15:00,2026-06-09 09:30:00,3,4718.0,4726.9
A0,豆一,大商所,30m,2026-06-12 13:45:00,2026-06-12 11:15:00,1,4739.0,4747.5
A0,豆一,大商所,30m,2026-06-22 09:30:00,2026-06-18 14:45:00,2,4690.0,4701.3
A0,豆一,大商所,30m,2026-06-22 21:30:00,2026-06-22 14:15:00,3,4674.0,4686.65
A0,豆一,大商所,30m,2026-06-25 09:30:00,2026-06-24 22:30:00,2,4745.0,4751.2
A0,豆一,大商所,30m,2026-06-29 13:45:00,2026-06-29 11:15:00,1,4822.0,4828.1
A0,豆一,大商所,30m,2026-06-29 22:00:00,2026-06-29 14:45:00,3,4820.0,4826.05
A0,豆一,大商所,30m,2026-07-06 14:45:00,2026-07-06 14:15:00,1,4740.0,4747.95
A0,豆一,大商所,30m,2026-07-08 13:45:00,2026-07-08 11:15:00,1,4736.0,4746.75
A0,豆一,大商所,30m,2026-07-09 10:45:00,2026-07-09 09:30:00,2,4735.0,4737.25
A0,豆一,大商所,30m,2026-07-10 11:15:00,2026-07-10 10:45:00,1,4715.0,4719.45
A0,豆一,大商所,30m,2026-07-14 10:00:00,2026-07-13 22:30:00,3,4719.0,4723.7
A0,豆一,大商所,30m,2026-07-14 22:30:00,2026-07-14 22:00:00,1,4712.0,4719.3
A0,豆一,大商所,30m,2026-07-16 09:30:00,2026-07-15 23:00:00,1,4694.0,4710.75
A0,豆一,大商所,30m,2026-07-16 14:45:00,2026-07-16 14:15:00,1,4703.0,4703.55
A0,豆一,大商所,30m,2026-07-16 23:00:00,2026-07-16 21:30:00,3,4699.0,4701.4
A0,豆一,大商所,30m,2026-07-20 10:45:00,2026-07-20 09:30:00,2,4687.0,4692.3
A0,豆一,大商所,30m,2026-07-20 13:45:00,2026-07-20 11:15:00,1,4687.0,4690.75
A0,豆一,大商所,60m,2026-01-12 11:15:00,2026-01-12 10:00:00,1,4367.0,4368.0
A0,豆一,大商所,60m,2026-01-13 10:00:00,2026-01-12 22:00:00,2,4333.0,4366.4
A0,豆一,大商所,60m,2026-01-19 15:00:00,2026-01-19 10:00:00,3,4321.0,4327.9
A0,豆一,大商所,60m,2026-01-20 22:00:00,2026-01-20 11:15:00,3,4298.0,4327.85
A0,豆一,大商所,60m,2026-02-02 23:00:00,2026-02-02 15:00:00,2,4387.0,4392.95
A0,豆一,大商所,60m,2026-02-03 14:15:00,2026-02-03 10:00:00,2,4391.0,4395.15
A0,豆一,大商所,60m,2026-02-05 11:15:00,2026-02-04 22:00:00,3,4374.0,4387.25
A0,豆一,大商所,60m,2026-02-06 15:00:00,2026-02-06 14:15:00,1,4378.0,4383.6
A0,豆一,大商所,60m,2026-02-09 10:00:00,2026-02-06 22:00:00,2,4381.0,4383.6
A0,豆一,大商所,60m,2026-03-02 11:15:00,2026-03-02 10:00:00,1,4681.0,4697.1
A0,豆一,大商所,60m,2026-03-05 15:00:00,2026-03-05 10:00:00,3,4652.0,4663.6
A0,豆一,大商所,60m,2026-03-06 14:15:00,2026-03-06 10:00:00,2,4660.0,4663.6
A0,豆一,大商所,60m,2026-03-17 11:15:00,2026-03-16 23:00:00,2,4910.0,4915.95
A0,豆一,大商所,60m,2026-04-02 10:00:00,2026-04-01 23:00:00,1,4603.0,4604.6
A0,豆一,大商所,60m,2026-04-02 14:15:00,2026-04-02 11:15:00,1,4606.0,4609.45
A0,豆一,大商所,60m,2026-04-28 11:15:00,2026-04-28 10:00:00,1,4918.0,4941.1
A0,豆一,大商所,60m,2026-05-06 11:15:00,2026-05-06 10:00:00,1,4907.0,4942.0
A0,豆一,大商所,60m,2026-05-20 15:00:00,2026-05-20 11:15:00,2,4749.0,4761.2
A0,豆一,大商所,60m,2026-05-28 15:00:00,2026-05-28 14:15:00,1,4814.0,4839.7
A0,豆一,大商所,60m,2026-06-09 11:15:00,2026-06-09 10:00:00,1,4718.0,4723.15
A0,豆一,大商所,60m,2026-07-03 10:00:00,2026-07-02 22:00:00,2,4744.0,4754.2
A0,豆一,大商所,60m,2026-07-06 11:15:00,2026-07-03 22:00:00,3,4739.0,4747.65
A0,豆一,大商所,60m,2026-07-06 15:00:00,2026-07-06 14:15:00,1,4745.0,4748.7
A0,豆一,大商所,60m,2026-07-07 10:00:00,2026-07-06 22:00:00,2,4746.0,4750.85
A0,豆一,大商所,60m,2026-07-07 23:00:00,2026-07-07 15:00:00,2,4734.0,4749.45
A0,豆一,大商所,60m,2026-07-08 14:15:00,2026-07-08 11:15:00,1,4724.0,4746.8
A0,豆一,大商所,60m,2026-07-10 22:00:00,2026-07-10 15:00:00,1,4726.0,4728.1
A0,豆一,大商所,60m,2026-07-13 11:15:00,2026-07-10 23:00:00,2,4724.0,4725.05
A0,豆一,大商所,60m,2026-07-14 10:00:00,2026-07-13 23:00:00,1,4719.0,4720.65
A0,豆一,大商所,60m,2026-07-31 22:00:00,2026-07-31 15:00:00,1,4693.0,4700.15
A0,豆一,大商所,90m,2026-01-16 13:45:00,2026-01-16 10:00:00,1,4337.0,4341.7
A0,豆一,大商所,90m,2026-01-19 13:45:00,2026-01-19 10:00:00,1,4333.0,4334.55
A0,豆一,大商所,90m,2026-01-20 22:30:00,2026-01-20 13:45:00,2,4296.0,4327.0
A0,豆一,大商所,90m,2026-01-30 15:00:00,2026-01-30 13:45:00,1,4382.0,4384.55
A0,豆一,大商所,90m,2026-02-05 13:45:00,2026-02-04 22:30:00,2,4386.0,4390.65
