symbol,variety,exchange,interval,interval_label,status,coverage_full,coverage_start,coverage_end,provider_start,provider_end,actual_start,actual_end,bar_count,golden_crosses,death_crosses,ice_points,sig_long,sig_short,resonance_long,resonance_short
A0,豆一,大商所,120m,120分钟,ok,True,True,True,2025-03-06 11:15:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,413,25,26,13,0,0,0,0
A0,豆一,大商所,30m,30分钟,ok,False,False,True,2026-03-27 22:00:00,2026-08-03 23:00:00,2026-03-27 22:00:00,2026-07-31 23:00:00,1011,61,61,32,0,0,0,0
A0,豆一,大商所,60m,60分钟,ok,True,True,True,2025-11-17 23:00:00,2026-08-03 23:00:00,2026-01-05 10:00:00,2026-07-31 23:00:00,826,53,53,30,1,0,1,0
A0,豆一,大商所,90m,90分钟,ok,True,True,True,2025-07-14 10:00:00,2026-08-04 10:00:00,2026-01-05 10:00:00,2026-07-31 22:30:00,552,39,40,24,1,0,0,0
A0,豆一,大商所,daily,日线,ok,True,True,True,2005-01-04,2026-08-03,2026-01-05,2026-07-31,139,7,8,5,0,0,0,0
AD0,铸造铝合金,上期所,120m,120分钟,ok,True,True,True,2025-07-26 01:00:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,572,43,43,23,0,1,0,0
AD0,铸造铝合金,上期所,30m,30分钟,ok,False,False,True,2026-04-29 00:30:00,2026-08-03 23:00:00,2026-04-29 00:30:00,2026-07-31 23:30:00,1008,59,58,25,0,0,0,0
AD0,铸造铝合金,上期所,60m,60分钟,ok,False,False,True,2026-01-19 10:00:00,2026-08-03 23:00:00,2026-01-19 10:00:00,2026-07-31 23:00:00,1015,70,70,29,3,0,2,0
AD0,铸造铝合金,上期所,90m,90分钟,ok,True,True,True,2025-11-25 00:00:00,2026-08-04 00:00:00,2026-01-05 09:30:00,2026-07-31 22:30:00,849,57,57,22,0,0,0,0
AD0,铸造铝合金,上期所,daily,日线,ok,True,True,True,2025-06-10,2026-08-03,2026-01-05,2026-07-31,139,11,11,8,0,1,0,0
AG0,白银,上期所,120m,120分钟,ok,True,True,True,2025-10-20 01:00:00,2026-08-03 23:00:00,2026-01-05 09:30:00,2026-07-31 23:00:00,734,39,39,18,0,0,0,0
AG0,白银,上期所,30m,30分钟,ok,False,False,True,2026-05-18 15:00:00,2026-08-03 23:00:00,2026-05-18 15:00:00,2026-07-31 23:30:00,1005,40,40,17,1,1,0,0
AG0,白银,上期所,60m,60分钟,ok,False,False,True,2026-03-06 01:00:00,2026-08-03 23:00:00,2026-03-06 01:00:00,2026-07-31 23:00:00,1012,46,47,20,1,1,0,0
AG0,白银,上期所,90m,90分钟,ok,True,True,True,2025-12-25 14:45:00,2026-08-04 00:00:00,2026-01-05 09:30:00,2026-07-31 22:30:00,983,44,44,12,1,0,0,0
AG0,白银,上期所,daily,日线,ok,True,True,True,2012-05-10,2026-08-03,2026-01-05,2026-07-31,139,8,9,6,0,0,0,0
AL0,沪铝,上期所,120m,120分钟,ok,True,True,True,2025-07-29 15:00:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,575,37,37,14,0,1,0,0
AL0,沪铝,上期所,30m,30分钟,ok,False,False,True,2026-04-29 00:30:00,2026-08-03 23:00:00,2026-04-29 00:30:00,2026-07-31 23:30:00,1008,51,51,20,0,1,0,0
AL0,沪铝,上期所,60m,60分钟,ok,False,False,True,2026-01-19 11:15:00,2026-08-03 23:00:00,2026-01-19 11:15:00,2026-07-31 23:00:00,1015,58,58,20,1,0,1,0
AL0,沪铝,上期所,90m,90分钟,ok,True,True,True,2025-11-25 00:00:00,2026-08-04 00:00:00,2026-01-05 09:30:00,2026-07-31 22:30:00,849,49,49,17,0,1,0,0
AL0,沪铝,上期所,daily,日线,ok,True,True,True,2005-01-04,2026-08-03,2026-01-05,2026-07-31,139,7,7,4,0,0,0,0
AO0,氧化铝,上期所,120m,120分钟,ok,True,True,True,2025-07-30 11:15:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,575,32,33,14,0,1,0,1
AO0,氧化铝,上期所,30m,30分钟,ok,False,False,True,2026-04-29 01:00:00,2026-08-03 23:00:00,2026-04-29 01:00:00,2026-07-31 23:30:00,1008,62,61,31,0,1,0,0
AO0,氧化铝,上期所,60m,60分钟,ok,False,False,True,2026-01-19 11:15:00,2026-08-03 23:00:00,2026-01-19 11:15:00,2026-07-31 23:00:00,1015,55,55,23,2,0,2,0
AO0,氧化铝,上期所,90m,90分钟,ok,True,True,True,2025-11-25 00:00:00,2026-08-04 00:00:00,2026-01-05 09:30:00,2026-07-31 22:30:00,849,43,44,17,0,3,0,0
AO0,氧化铝,上期所,daily,日线,ok,True,True,True,2023-06-19,2026-08-03,2026-01-05,2026-07-31,139,7,8,2,0,0,0,0
AP0,苹果,郑商所,120m,120分钟,ok,True,True,True,2024-06-25 11:15:00,2026-08-03 15:00:00,2026-01-05 11:15:00,2026-07-31 15:00:00,278,17,16,6,0,0,0,0
AP0,苹果,郑商所,30m,30分钟,ok,False,False,True,2026-01-21 10:00:00,2026-08-03 15:00:00,2026-01-21 10:00:00,2026-07-31 15:00:00,1015,56,56,27,2,1,2,1
AP0,苹果,郑商所,60m,60分钟,ok,True,True,True,2025-07-15 11:15:00,2026-08-03 15:00:00,2026-01-05 10:00:00,2026-07-31 15:00:00,556,32,31,15,1,0,0,0
AP0,苹果,郑商所,90m,90分钟,ok,True,True,True,2025-03-11 10:45:00,2026-08-03 15:00:00,2026-01-05 10:45:00,2026-07-31 15:00:00,417,24,23,10,1,0,1,0
AP0,苹果,郑商所,daily,日线,ok,True,True,True,2017-12-22,2026-08-03,2026-01-05,2026-07-31,139,12,11,6,0,1,0,0
AU0,黄金,上期所,120m,120分钟,ok,True,True,True,2025-10-20 01:00:00,2026-08-03 23:00:00,2026-01-05 09:30:00,2026-07-31 23:00:00,734,43,43,21,1,2,0,1
AU0,黄金,上期所,30m,30分钟,ok,False,False,True,2026-05-18 13:45:00,2026-08-03 23:00:00,2026-05-18 13:45:00,2026-07-31 23:30:00,1005,40,40,16,3,0,2,0
AU0,黄金,上期所,60m,60分钟,ok,False,False,True,2026-03-06 01:00:00,2026-08-03 23:00:00,2026-03-06 01:00:00,2026-07-31 23:00:00,1012,51,52,24,0,0,0,0
AU0,黄金,上期所,90m,90分钟,ok,True,True,True,2025-12-25 14:45:00,2026-08-04 00:00:00,2026-01-05 09:30:00,2026-07-31 22:30:00,983,59,59,33,1,1,0,0
AU0,黄金,上期所,daily,日线,ok,True,True,True,2008-01-09,2026-08-03,2026-01-05,2026-07-31,139,8,8,4,0,0,0,0
B0,豆二,大商所,120m,120分钟,ok,True,True,True,2025-03-06 11:15:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,413,19,19,6,1,0,0,0
B0,豆二,大商所,30m,30分钟,ok,False,False,True,2026-03-27 22:00:00,2026-08-03 23:00:00,2026-03-27 22:00:00,2026-07-31 23:00:00,1011,62,62,36,1,1,0,0
B0,豆二,大商所,60m,60分钟,ok,True,True,True,2025-11-17 23:00:00,2026-08-03 23:00:00,2026-01-05 10:00:00,2026-07-31 23:00:00,826,50,50,24,3,0,2,0
B0,豆二,大商所,90m,90分钟,ok,True,True,True,2025-07-14 10:00:00,2026-08-04 10:00:00,2026-01-05 10:00:00,2026-07-31 22:30:00,552,25,25,9,2,1,0,0
B0,豆二,大商所,daily,日线,ok,True,True,True,2007-08-27,2026-08-03,2026-01-05,2026-07-31,139,7,7,3,1,0,1,0
BB0,胶合板,大商所,120m,120分钟,ok,True,True,True,2020-02-28 15:00:00,2026-08-03 15:00:00,2026-01-05 11:15:00,2026-06-02 15:00:00,60,2,3,1,0,0,0,0
BB0,胶合板,大商所,30m,30分钟,ok,True,True,True,2025-04-30 09:30:00,2026-08-03 15:00:00,2026-01-05 10:45:00,2026-06-02 15:00:00,180,8,8,3,0,0,0,0
BB0,胶合板,大商所,60m,60分钟,ok,True,True,True,2024-05-28 11:15:00,2026-08-03 15:00:00,2026-01-05 11:15:00,2026-06-02 15:00:00,104,6,7,4,0,0,0,0
BB0,胶合板,大商所,90m,90分钟,ok,True,True,True,2024-05-08 10:45:00,2026-08-03 15:00:00,2026-01-05 10:45:00,2026-06-02 15:00:00,87,4,5,3,0,0,0,0
BB0,胶合板,大商所,daily,日线,ok,True,True,True,2013-12-06,2026-08-03,2026-01-05,2026-06-02,39,2,3,1,0,0,0,0
BC0,国际铜,能源中心,120m,120分钟,ok,True,True,True,2025-07-29 11:15:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,573,35,34,11,0,0,0,0
BC0,国际铜,能源中心,30m,30分钟,ok,False,False,True,2026-04-29 00:00:00,2026-08-03 23:00:00,2026-04-29 00:00:00,2026-07-31 23:30:00,1008,53,53,20,0,0,0,0
BC0,国际铜,能源中心,60m,60分钟,ok,False,False,True,2026-01-19 11:15:00,2026-08-03 23:00:00,2026-01-19 11:15:00,2026-07-31 23:00:00,1015,68,68,34,2,1,0,0
BC0,国际铜,能源中心,90m,90分钟,ok,True,True,True,2025-11-25 00:00:00,2026-08-04 00:00:00,2026-01-05 09:30:00,2026-07-31 22:30:00,849,50,49,19,0,0,0,0
BC0,国际铜,能源中心,daily,日线,ok,True,True,True,2020-11-19,2026-08-03,2026-01-05,2026-07-31,139,10,10,5,0,0,0,0
BR0,丁二烯橡胶,上期所,120m,120分钟,ok,True,True,True,2025-03-06 11:15:00,2026-08-03 23:00:00,2026-01-05 11:15:00,2026-07-31 23:00:00,413,25,26,14,0,0,0,0
BR0,丁二烯橡胶,上期所,30m,30分钟,ok,False,False,True,2026-03-27 22:00:00,2026-08-03 23:00:00,2026-03-27 22:00:00,2026-07-31 23:00:00,1011,58,57,29,1,1,0,0
BR0,丁二烯橡胶,上期所,60m,60分钟,ok,True,True,True,2025-11-17 23:00:00,2026-08-03 23:00:00,2026-01-05 10:00:00,2026-07-31 23:00:00,826,48,47,21,0,0,0,0
BR0,丁二烯橡胶,上期所,90m,90分钟,ok,True,True,True,2025-07-14 10:00:00,2026-08-04 10:00:00,2026-01-05 10:00:00,2026-07-31 22:30:00,552,28,29,9,0,0,0,0
BR0,丁二烯橡胶,上期所,daily,日线,ok,True,True,True,2023-07-28,2026-08-03,2026-01-05,2026-07-31,139,7,8,4,0,1,0,1
